Region NUTS id,Region name,8_regional_gdp_ppp_per_capita,9_intramural_r&d_expenditure,8_long_term_unemployment,10_disposable_income_private_households
UKI3,Inner London - West,628.67,1.55,72.8,44833.3
DE21,Oberbayern,180.0,4.26,79.1,25866.7
LU00,Luxembourg,272.0,1.26,66.1,25666.7
UKI7,Outer London - West and North West,135.33,1.09,71.93,24300.0
DE11,Stuttgart,162.33,6.51,77.37,23733.3
DE60,Hamburg,206.33,2.17,75.1,23600.0
UKI6,Outer London - South,97.33,0.49,75.7,23266.7
DE14,Tübingen,135.0,4.55,77.97,23133.3
AT34,Vorarlberg,143.0,1.74,75.53,22733.3
DE13,Freiburg,120.67,2.64,78.03,22733.3
UKJ2,"Surrey, East and West Sussex",115.33,1.47,75.93,22633.3
DE71,Darmstadt,163.67,3.19,73.6,22500.0
AT12,Niederösterreich,107.0,1.71,73.0,22400.0
DE12,Karlsruhe,138.33,4.62,75.27,22366.7
DE27,Schwaben,125.0,1.57,77.9,22366.7
DE25,Mittelfranken,137.33,3.71,76.5,22300.0
UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",153.67,3.63,78.27,22233.3
ITH1,Provincia Autonoma di Bolzano/Bozen,155.33,0.71,71.63,22200.0
AT32,Salzburg,155.0,1.5,74.3,22100.0
DE26,Unterfranken,125.67,2.27,76.67,21766.7
AT11,Burgenland (AT),91.0,0.97,69.73,21733.3
NO01,Oslo og Akershus,179.33,2.98,76.53,21700.0
UKI4,Inner London - East,175.67,0.52,70.27,21666.7
DEA4,Detmold,119.33,1.87,73.2,21633.3
AT31,Oberösterreich,133.33,3.15,75.07,21600.0
DEB3,Rheinhessen-Pfalz,120.0,3.45,73.33,21566.7
DEF0,Schleswig-Holstein,102.0,1.49,74.33,21466.7
DEB1,Koblenz,108.33,0.69,74.6,21433.3
DE24,Oberfranken,116.0,1.97,76.77,21300.0
AT33,Tirol,139.0,3.1,74.27,21200.0
DE22,Niederbayern,123.0,1.25,78.03,21200.0
AT22,Steiermark,117.33,5.05,70.97,21133.3
UKM5,North Eastern Scotland,161.0,1.52,78.67,21100.0
DEA2,Köln,134.67,2.83,71.27,21033.3
DEA1,Düsseldorf,131.67,1.79,69.93,21000.0
FR10,Île-de-France,178.5,0.0,66.33,21000.0
AT13,Wien,158.67,3.61,64.73,20966.7
DE23,Oberpfalz,130.67,1.99,77.03,20966.7
UKH2,Bedfordshire and Hertfordshire,113.33,3.29,76.97,20933.3
AT21,Kärnten,110.0,3.06,69.37,20933.3
DE93,Lüneburg,89.33,0.94,75.8,20900.0
DEB2,Trier,99.0,2.41,77.07,20766.7
BE24,Prov. Vlaams-Brabant,130.33,4.22,67.57,20700.0
DEA5,Arnsberg,109.67,1.66,69.97,20666.7
DE91,Braunschweig,132.0,9.65,71.1,20633.3
ITC4,Lombardia,129.67,1.28,65.4,20600.0
DE72,Gießen,106.33,2.56,72.77,20466.7
ITH5,Emilia-Romagna,119.67,1.82,67.13,20400.0
DE92,Hannover,119.67,2.35,72.63,20366.7
DE73,Kassel,115.33,1.58,74.3,20133.3
DE50,Bremen,155.33,2.75,69.07,20100.0
DEA3,Münster,105.67,1.13,71.5,20100.0
SE11,Stockholm,177.67,3.8,77.97,20066.7
NO04,Agder og Rogaland,136.67,1.22,74.93,19833.3
DEC0,Saarland,115.67,1.61,70.93,19766.7
ES21,País Vasco,118.33,1.96,63.27,19766.7
DE94,Weser-Ems,111.33,0.92,74.13,19666.7
NO05,Vestlandet,135.33,1.84,75.87,19633.3
UKD6,Cheshire,130.0,3.69,75.0,19533.3
FI20,Åland,135.67,0.29,81.8,19400.0
BE23,Prov. Oost-Vlaanderen,110.67,2.5,68.07,19266.7
ITH2,Provincia Autonoma di Trento,129.33,1.72,66.0,19233.3
BE31,Prov. Brabant wallon,135.0,6.53,62.7,19200.0
UKI5,Outer London - East and North East,79.0,0.31,70.53,19133.3
UKJ3,Hampshire and Isle of Wight,112.33,2.17,76.43,19133.3
ES30,Comunidad de Madrid,125.67,1.69,64.67,19066.7
NO06,Trøndelag,122.0,4.8,75.47,19033.3
UKG1,"Herefordshire, Worcestershire and Warwickshire",103.33,3.1,76.6,19000.0
ITC3,Liguria,107.0,1.45,61.93,19000.0
NO07,Nord-Norge,117.33,1.81,73.7,18966.7
ITC1,Piemonte,102.67,2.18,63.5,18966.7
DE30,Berlin,121.0,3.52,69.87,18933.3
UKH3,Essex,87.33,1.64,74.53,18900.0
BE25,Prov. West-Vlaanderen,117.0,1.09,68.2,18900.0
FI1B,Helsinki-Uusimaa,147.33,3.58,72.97,18866.7
ITH4,Friuli-Venezia Giulia,104.67,1.55,63.83,18866.7
UKK1,"Gloucestershire, Wiltshire and Bristol/Bath area",114.67,2.24,77.27,18833.3
NO03,Sør-Østlandet,101.67,1.6,71.8,18800.0
UKE2,North Yorkshire,95.33,1.5,78.0,18766.7
UKJ4,Kent,90.0,1.26,73.97,18733.3
ITC2,Valle d'Aosta/Vallée d'Aoste,129.67,0.58,66.27,18700.0
ES22,Comunidad Foral de Navarra,112.33,1.67,63.77,18633.3
DE40,Brandenburg,89.67,1.68,75.57,18600.0
DED4,Chemnitz,87.67,1.79,76.27,18600.0
UKK2,Dorset and Somerset,86.33,0.84,76.03,18433.3
NO02,Hedmark og Oppland,100.33,0.79,73.8,18433.3
BE21,Prov. Antwerpen,142.67,3.07,64.27,18400.0
NL32,Noord-Holland,170.33,1.69,75.9,18400.0
DED2,Dresden,94.67,4.0,75.93,18366.7
ITH3,Veneto,110.0,1.14,64.0,18366.7
NL31,Utrecht,160.33,2.14,76.73,18350.0
SK01,Bratislavský kraj,188.33,1.57,72.43,18166.7
DEG0,Thüringen,90.67,2.06,75.17,18133.3
FRK2,Rhône-Alpes,105.5,2.39,66.83,18100.0
ITI1,Toscana,105.33,1.31,64.63,18100.0
DED5,Leipzig,101.33,2.02,74.0,18066.7
FRK1,Auvergne,85.0,2.24,65.63,18050.0
DEE0,Sachsen-Anhalt,87.33,1.42,73.4,17900.0
UKM7,Eastern Scotland,111.33,1.46,73.07,17833.3
SE23,Västsverige,123.33,3.76,76.57,17800.0
UKD1,Cumbria,95.67,1.1,75.67,17800.0
FRB0,Centre-Val de Loire,87.5,0.76,63.6,17700.0
FRC1,Bourgogne,87.0,1.41,63.77,17700.0
UKH1,East Anglia,97.67,4.85,76.23,17666.7
BE22,Prov. Limburg (BE),99.0,1.34,64.23,17600.0
FRC2,Franche-Comté,80.0,1.43,65.6,17600.0
FRL0,Provence-Alpes-Côte d’Azur,98.5,2.49,62.63,17600.0
DE80,Mecklenburg-Vorpommern,85.0,1.85,71.77,17500.0
FRI2,Limousin,80.0,1.6,68.03,17500.0
ES51,Cataluña,109.0,1.48,63.5,17366.7
FRD1,Basse-Normandie,84.0,1.63,64.87,17300.0
FRD2,Haute-Normandie,91.5,1.27,62.33,17300.0
SE22,Sydsverige,107.33,3.4,73.13,17266.7
NL33,Zuid-Holland,131.67,2.08,72.03,17250.0
ITI4,Lazio,114.33,1.62,59.23,17233.3
FRI3,Poitou-Charentes,85.0,4.75,64.9,17200.0
FRJ2,Midi-Pyrénées,97.5,2.77,65.7,17200.0
NL41,Noord-Brabant,131.0,2.84,75.43,17200.0
PL91,Warszawski stołeczny,151.0,2.07,73.7,17200.0
FRI1,Aquitaine,92.5,0.93,65.13,17150.0
UKM6,Highlands and Islands,100.67,0.5,76.9,17133.3
ITI3,Marche,92.33,0.91,62.23,17133.3
FRG0,Pays-de-la-Loire,95.0,1.23,67.63,17100.0
FRH0,Bretagne,89.5,2.01,67.07,17050.0
UKK4,Devon,82.33,1.06,74.53,16966.7
NL34,Zeeland,104.33,0.54,76.4,16950.0
SE12,Östra Mellansverige,108.33,3.9,73.63,16900.0
FRE2,Picardie,79.5,0.91,61.13,16800.0
ITI2,Umbria,86.0,0.96,62.27,16800.0
UKF2,"Leicestershire, Rutland and Northamptonshire",96.33,1.19,74.2,16766.7
SE21,Småland med öarna,107.67,1.51,76.57,16766.7
SE33,Övre Norrland,115.0,2.65,75.33,16766.7
NL22,Gelderland,109.67,2.16,74.5,16750.0
