Region NUTS id,Region name,7_renewables_in_heating_cooling_buildings,9_public_transport_vehicles,12_municipal_waste,12_energy_consumption_per_capita,13_pm_10,13_no2,13_ozone,14_marine_sites_protection,15_forest_area_protection,15_nature_area_protection,15_land_covered_by_artificial_surfaces
UKI3,Inner London - West,0,2.37,0.0,440.61,0.0,0.0,0.0,0.0,2.6,0.82,67.0
DE21,Oberbayern,12,0.92,1.85,221.13,16.41,22.87,113.14,1.44,34.2,14.47,7.4
LU00,Luxembourg,56,3.28,43.26,6935.86,16.44,19.48,104.42,0.23,35.2,26.92,9.8
UKI7,Outer London - West and North West,1,2.37,0.23,482.86,0.0,0.0,0.0,0.0,2.6,1.79,51.9
DE11,Stuttgart,12,0.78,3.81,259.1,17.19,22.34,115.16,0.01,31.0,12.36,10.0
DE60,Hamburg,5,0.94,0.0,16446.6,18.02,24.38,89.91,0.93,4.8,7.81,25.1
UKI6,Outer London - South,0,2.37,0.48,918.72,0.0,0.0,0.0,0.0,7.6,0.85,54.8
DE14,Tübingen,15,0.96,8.36,210.9,15.02,18.2,114.02,0.12,33.1,13.69,7.1
AT34,Vorarlberg,6,0.88,1.83,1021.86,12.85,20.17,120.0,0.56,29.3,9.25,5.6
DE13,Freiburg,16,0.82,2.53,211.67,14.14,15.47,116.01,0.32,42.3,25.57,7.4
UKJ2,"Surrey, East and West Sussex",4,2.13,4.85,531.12,0.0,0.0,0.0,0.14,13.1,3.41,10.6
DE71,Darmstadt,10,0.79,0.81,226.04,17.65,26.67,106.13,0.34,39.7,14.9,9.2
AT12,Niederösterreich,21,0.61,9.37,330.58,17.76,13.7,118.4,0.4,38.0,22.98,4.0
DE12,Karlsruhe,12,0.7,3.34,221.58,16.61,21.03,113.79,0.51,43.3,18.57,11.5
DE27,Schwaben,7,1.07,1.63,88.92,15.25,19.06,112.5,0.21,26.1,11.2,6.8
DE25,Mittelfranken,13,0.98,10.76,180.21,17.09,21.46,110.92,0.08,30.5,11.65,7.9
UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",2,2.78,20.72,1208.69,0.0,0.0,0.0,0.02,5.6,0.86,10.1
ITH1,Provincia Autonoma di Bolzano/Bozen,50,2.04,2.68,5335.85,14.49,18.12,120.0,0.04,30.1,20.24,2.8
AT32,Salzburg,40,0.98,0.74,856.76,13.66,18.23,111.52,0.06,41.3,15.22,3.8
