Region NUTS id,Region name,1_poverty_social_exclusion_risk,1_lack_heating,1_overcrowded_living,3_life_expectancy,4_early_leavers_edu_train,5_female_enrolment_tertiary_edu,16_eu_quality_of_govnt
UKI3,Inner London - West,23.3,0.0,0.0,83.9,6.23,57.9,71.24
DE21,Oberbayern,16.2,3.0,10.58,82.4,6.37,48.2,78.64
LU00,Luxembourg,19.1,2.07,8.37,82.5,6.97,51.0,75.52
UKI7,Outer London - West and North West,23.3,0.0,0.0,83.2,6.33,57.9,71.24
DE11,Stuttgart,14.6,3.03,6.26,82.2,8.83,46.8,72.81
DE60,Hamburg,20.0,4.07,13.49,81.1,12.53,49.4,76.54
UKI6,Outer London - South,23.3,0.0,0.0,82.7,7.07,57.9,71.24
DE14,Tübingen,13.7,3.13,7.02,82.2,6.53,46.8,72.81
AT34,Vorarlberg,22.6,1.0,9.63,82.7,7.3,53.9,72.99
DE13,Freiburg,15.3,2.78,6.22,82.0,10.17,46.8,72.81
UKJ2,"Surrey, East and West Sussex",23.3,0.0,0.0,82.7,9.83,56.8,71.9
DE71,Darmstadt,14.4,2.68,6.05,81.7,10.6,47.4,72.55
AT12,Niederösterreich,13.8,1.36,8.39,81.2,6.4,54.0,65.14
DE12,Karlsruhe,16.2,2.54,7.99,81.6,8.13,46.8,72.81
DE27,Schwaben,17.2,2.46,7.38,81.8,6.87,48.2,78.64
DE25,Mittelfranken,23.3,3.86,6.05,81.0,8.17,48.2,78.64
UKJ1,"Berkshire, Buckinghamshire and Oxfordshire",23.3,0.0,0.0,82.8,10.97,56.8,71.9
ITH1,Provincia Autonoma di Bolzano/Bozen,11.0,4.14,29.26,83.9,12.43,68.1,41.42
AT32,Salzburg,15.7,1.73,16.81,82.6,7.2,57.7,68.85
DE26,Unterfranken,21.1,2.18,5.61,81.6,6.37,48.2,78.64
AT11,Burgenland (AT),13.7,0.58,8.79,81.3,7.83,54.2,66.51
NO01,Oslo og Akershus,14.3,0.0,0.0,82.3,7.47,60.7,0.0
UKI4,Inner London - East,23.3,0.0,0.0,81.5,5.37,57.9,71.24
DEA4,Detmold,19.2,2.88,3.34,81.2,10.5,47.3,65.86
AT31,Oberösterreich,15.0,0.74,5.02,81.9,7.2,51.3,64.73
DEB3,Rheinhessen-Pfalz,22.7,4.93,11.06,81.2,11.5,50.7,73.95
DEF0,Schleswig-Holstein,19.1,2.89,7.09,80.6,11.27,46.3,73.49
DEB1,Koblenz,20.3,1.7,7.78,80.7,12.33,50.7,73.95
DE24,Oberfranken,19.7,4.08,3.35,80.6,6.53,48.2,78.64
AT33,Tirol,18.9,1.56,18.68,82.7,7.3,54.0,71.86
DE22,Niederbayern,22.2,8.76,1.46,80.7,7.27,48.2,78.64
AT22,Steiermark,17.3,1.83,11.84,81.8,5.03,48.8,65.93
UKM5,North Eastern Scotland,23.3,0.0,0.0,80.1,11.73,56.5,70.66
DEA2,Köln,19.1,4.13,8.44,81.1,10.6,47.3,65.86
DEA1,Düsseldorf,21.7,3.1,9.58,80.3,12.6,47.3,65.86
FR10,Île-de-France,18.3,4.36,17.47,84.2,8.3,55.2,60.21
AT13,Wien,27.2,4.97,29.43,80.6,9.3,53.6,68.11
DE23,Oberpfalz,19.3,3.55,4.83,80.8,9.0,48.2,78.64
UKH2,Bedfordshire and Hertfordshire,23.3,0.0,0.0,82.5,9.13,55.9,72.77
AT21,Kärnten,17.2,0.79,8.93,81.7,5.07,58.0,63.59
DE93,Lüneburg,13.9,3.69,3.36,80.7,11.7,47.7,76.54
DEB2,Trier,15.6,0.77,2.72,81.1,11.6,50.7,73.95
BE24,Prov. Vlaams-Brabant,21.0,5.21,5.49,82.7,5.2,52.2,70.48
DEA5,Arnsberg,23.0,5.22,9.85,80.0,11.6,47.3,65.86
